,filepath,superclass,label,split
70,cultivated_land/bare_land/bare_land(868).tif,cultivated land,bare land,train
71,construction_land/container/container(895).tif,construction land,container,train
72,other_land/snow_mountain/snow_mountain(120).tif,other land,snow mountain,train
73,woodland/sapling/sapling(484).tif,woodland,sapling,train
74,other_objects/town/town(269).tif,other objects,town,train
75,woodland/forest/forest(852).tif,woodland,forest,train
76,transportation/rail/rail(399).tif,transportation,rail,train
77,other_land/desert/desert(979).tif,other land,desert,train
78,other_objects/town/town(879).tif,other objects,town,train
79,woodland/mangrove/mangrove_618(772).tif,woodland,mangrove,train
80,transportation/mountain_road/mountain_road(144).tif,transportation,mountain road,train
81,other_objects/pipeline/pipeline(184).tif,other objects,pipeline,train
82,woodland/sparse_forest/sparse_forest(1026).tif,woodland,sparse forest,train
83,construction_land/grave/grave(203).tif,construction land,grave,train
84,woodland/sapling/sapling(1118).tif,woodland,sapling,train
85,woodland/forest/forest(689).tif,woodland,forest,train
86,water_area/lakeshore/lakeshore(195).tif,water area,lakeshore,train
87,woodland/natural_grassland/natural_grassland(481).tif,woodland,natural grassland,train
88,transportation/crossroads/crossroads(265).tif,transportation,crossroads,train
89,construction_land/storage_room/storage_room(253).tif,construction land,storage room,train
90,water_area/stream/stream(4).tif,water area,stream,train
91,cultivated_land/bare_land/bare_land(1090).tif,cultivated land,bare land,train
92,woodland/artificial_grassland/artificial_grassland(70).tif,woodland,artificial grassland,train
93,water_area/coastline/coastline(381).tif,water area,coastline,train
94,other_land/snow_mountain/snow_mountain(45).tif,other land,snow mountain,train
95,transportation/parkinglot/parkinglot(756).tif,transportation,parkinglot,train
96,transportation/mountain_road/mountain_road(156).tif,transportation,mountain road,train
97,construction_land/storage_room/storage_room(106).tif,construction land,storage room,train
98,construction_land/grave/grave(84).tif,construction land,grave,train
99,cultivated_land/dry_farm/dry_farm(897).tif,cultivated land,dry farm,train
100,woodland/shrubwood/shrubwood(123).tif,woodland,shrubwood,train
101,construction_land/grave/grave(337).tif,construction land,grave,train
102,woodland/sparse_forest/sparse_forest(1225).tif,woodland,sparse forest,train
103,transportation/mountain_road/mountain_road(848).tif,transportation,mountain road,train
104,water_area/lakeshore/lakeshore(1066).tif,water area,lakeshore,train
105,water_area/coastline/coastline(520).tif,water area,coastline,train
106,woodland/shrubwood/shrubwood(905).tif,woodland,shrubwood,train
107,transportation/fork_road/fork_road(233).tif,transportation,fork road,train
108,other_objects/town/town(581).tif,other objects,town,train
109,cultivated_land/dry_farm/dry_farm(486).tif,cultivated land,dry farm,train
110,woodland/city_green_tree/city_green_tree(154).tif,woodland,city green tree,train
111,cultivated_land/bare_land/bare_land(964).tif,cultivated land,bare land,train
112,water_area/hirst/hirst(421).tif,water area,hirst,train
113,construction_land/city_building/city_building(906).tif,construction land,city building,train
114,other_land/desert/desert(132).tif,other land,desert,train
115,transportation/fork_road/fork_road(435).tif,transportation,fork road,train
116,construction_land/residents/residents(492).tif,construction land,residents,train
117,cultivated_land/dry_farm/dry_farm(108).tif,cultivated land,dry farm,train
118,construction_land/city_building/city_building(402).tif,construction land,city building,train
119,other_land/sandbeach/sand_beach(66).tif,other land,sandbeach,train
120,woodland/forest/forest(1418).tif,woodland,forest,train
121,other_land/snow_mountain/snow_mountain(569).tif,other land,snow mountain,train
122,water_area/river/river(179).tif,water area,river,train
123,water_area/lakeshore/lakeshore(131).tif,water area,lakeshore,train
124,other_land/snow_mountain/snow_mountain(200).tif,other land,snow mountain,train
125,water_area/coastline/coastline(333).tif,water area,coastline,train
126,other_land/snow_mountain/snow_mountain(193).tif,other land,snow mountain,train
127,construction_land/residents/residents(893).tif,construction land,residents,train
128,water_area/stream/stream(794).tif,water area,stream,train
129,water_area/hirst/hirst(261).tif,water area,hirst,train
130,transportation/marina/marina(76).tif,transportation,marina,train
131,water_area/sea/sea(122).tif,water area,sea,train
132,cultivated_land/bare_land/bare_land(477).tif,cultivated land,bare land,train
133,construction_land/container/container(600).tif,construction land,container,train
134,woodland/forest/forest(267).tif,woodland,forest,train
135,construction_land/city_building/city_building(329).tif,construction land,city building,train
136,construction_land/grave/grave(134).tif,construction land,grave,train
137,transportation/marina/marina(28).tif,transportation,marina,train
138,woodland/city_avenue/city_avenue(70).tif,woodland,city avenue,train
139,woodland/sapling/sapling(488).tif,woodland,sapling,train
140,other_land/sandbeach/sand_beach(178).tif,other land,sandbeach,train
141,woodland/shrubwood/shrubwood(44).tif,woodland,shrubwood,train
142,other_objects/town/town(533).tif,other objects,town,train
143,construction_land/city_building/city_building(919).tif,construction land,city building,train
144,transportation/airport_runway/airport_runway(12).tif,transportation,airport runway,train
145,construction_land/city_building/city_building(1007).tif,construction land,city building,train
146,water_area/dam/dam(148).tif,water area,dam,train
147,woodland/natural_grassland/natural_grassland(1061).tif,woodland,natural grassland,train
148,construction_land/container/container(70).tif,construction land,container,train
149,transportation/parkinglot/parkinglot(994).tif,transportation,parkinglot,train
150,transportation/bridge/bridge(254).tif,transportation,bridge,train
151,cultivated_land/green_farmland/green_farmland(11).tif,cultivated land,green farmland,train
152,woodland/sapling/sapling(1115).tif,woodland,sapling,train
153,water_area/sea/sea(262).tif,water area,sea,train
154,cultivated_land/dry_farm/dry_farm(85).tif,cultivated land,dry farm,train
155,woodland/natural_grassland/natural_grassland(678).tif,woodland,natural grassland,train
156,woodland/sparse_forest/sparse_forest(1120).tif,woodland,sparse forest,train
157,transportation/marina/marina(138).tif,transportation,marina,train
158,cultivated_land/dry_farm/dry_farm(633).tif,cultivated land,dry farm,train
159,woodland/city_green_tree/city_green_tree(147).tif,woodland,city green tree,train
160,construction_land/container/container(215).tif,construction land,container,train
161,other_objects/town/town(282).tif,other objects,town,train
162,construction_land/container/container(351).tif,construction land,container,train
163,woodland/mangrove/mangrove_618(484).tif,woodland,mangrove,train
164,cultivated_land/green_farmland/green_farmland(384).tif,cultivated land,green farmland,train
165,woodland/forest/forest(990).tif,woodland,forest,train
166,other_land/sandbeach/sand_beach(76).tif,other land,sandbeach,train
167,water_area/stream/stream(757).tif,water area,stream,train
168,other_land/desert/desert(1018).tif,other land,desert,train
169,woodland/mangrove/mangrove_618(250).tif,woodland,mangrove,train
170,other_land/desert/desert(235).tif,other land,desert,train
171,transportation/mountain_road/mountain_road(625).tif,transportation,mountain road,train
172,other_objects/town/town(864).tif,other objects,town,train
173,other_land/desert/desert(674).tif,other land,desert,train
174,other_land/snow_mountain/snow_mountain(467).tif,other land,snow mountain,train
175,construction_land/city_building/city_building(379).tif,construction land,city building,train
176,water_area/dam/dam(370).tif,water area,dam,train
177,water_area/dam/dam(394).tif,water area,dam,train
178,woodland/natural_grassland/natural_grassland(1054).tif,woodland,natural grassland,train
179,transportation/airport_runway/airport_runway(724).tif,transportation,airport runway,train
180,transportation/parkinglot/parkinglot(597).tif,transportation,parkinglot,train
181,other_objects/town/town(587).tif,other objects,town,train
182,other_objects/town/town(285).tif,other objects,town,train
183,water_area/hirst/hirst(169).tif,water area,hirst,train
184,water_area/stream/stream(741).tif,water area,stream,train
185,water_area/hirst/hirst(147).tif,water area,hirst,train
186,other_objects/town/town(145).tif,other objects,town,train
187,water_area/dam/dam(11).tif,water area,dam,train
188,woodland/city_green_tree/city_green_tree(71).tif,woodland,city green tree,train
189,woodland/shrubwood/shrubwood(274).tif,woodland,shrubwood,train
190,water_area/stream/stream(817).tif,water area,stream,train
191,other_objects/town/town(346).tif,other objects,town,train
192,water_area/river/river(33).tif,water area,river,train
193,transportation/turning_circle/turning_circle(20).tif,transportation,turning circle,train
194,cultivated_land/dry_farm/dry_farm(1233).tif,cultivated land,dry farm,train
195,woodland/river_protection_forest/river_protection_forest(41).tif,woodland,river protection forest,train
196,transportation/mountain_road/mountain_road(808).tif,transportation,mountain road,train
197,transportation/airport_runway/airport_runway(1136).tif,transportation,airport runway,train
198,transportation/avenue/avenue(304).tif,transportation,avenue,train
199,woodland/mangrove/mangrove_618(661).tif,woodland,mangrove,train
200,water_area/lakeshore/lakeshore(961).tif,water area,lakeshore,train
201,water_area/lakeshore/lakeshore(153).tif,water area,lakeshore,train
202,cultivated_land/dry_farm/dry_farm(314).tif,cultivated land,dry farm,train
203,other_land/snow_mountain/snow_mountain(884).tif,other land,snow mountain,train
204,transportation/airport_runway/airport_runway(715).tif,transportation,airport runway,train
205,cultivated_land/dry_farm/dry_farm(1274).tif,cultivated land,dry farm,train
206,other_land/snow_mountain/snow_mountain(577).tif,other land,snow mountain,train
207,woodland/artificial_grassland/artificial_grassland(259).tif,woodland,artificial grassland,train
208,woodland/mangrove/mangrove_618(909).tif,woodland,mangrove,train
209,woodland/natural_grassland/natural_grassland(67).tif,woodland,natural grassland,train
210,woodland/sparse_forest/sparse_forest(555).tif,woodland,sparse forest,train
211,transportation/airport_runway/airport_runway(42).tif,transportation,airport runway,train
212,woodland/artificial_grassland/artificial_grassland(117).tif,woodland,artificial grassland,train
213,transportation/overpass/overpass(41).tif,transportation,overpass,train
214,water_area/river/river(365).tif,water area,river,train
215,transportation/marina/marina(227).tif,transportation,marina,train
216,transportation/fork_road/fork_road(26).tif,transportation,fork road,train
217,water_area/river/river(18).tif,water area,river,train
218,transportation/avenue/avenue(538).tif,transportation,avenue,train
219,transportation/parkinglot/parkinglot(406).tif,transportation,parkinglot,train
220,transportation/airport_runway/airport_runway(749).tif,transportation,airport runway,train
221,cultivated_land/bare_land/bare_land(237).tif,cultivated land,bare land,train
222,water_area/lakeshore/lakeshore(577).tif,water area,lakeshore,train
223,woodland/forest/forest(1319).tif,woodland,forest,train
224,woodland/river_protection_forest/river_protection_forest(167).tif,woodland,river protection forest,train
225,woodland/natural_grassland/natural_grassland(660).tif,woodland,natural grassland,train
226,woodland/mangrove/mangrove_618(314).tif,woodland,mangrove,train
227,water_area/coastline/coastline(117).tif,water area,coastline,train
228,cultivated_land/dry_farm/dry_farm(837).tif,cultivated land,dry farm,train
229,cultivated_land/dry_farm/dry_farm(1005).tif,cultivated land,dry farm,train
230,water_area/hirst/hirst(916).tif,water area,hirst,train
231,woodland/forest/forest(352).tif,woodland,forest,train
232,water_area/hirst/hirst(511).tif,water area,hirst,train
233,water_area/stream/stream(264).tif,water area,stream,train
234,transportation/marina/marina(351).tif,transportation,marina,train
235,woodland/sparse_forest/sparse_forest(289).tif,woodland,sparse forest,train
236,transportation/crossroads/crossroads(637).tif,transportation,crossroads,train
237,woodland/shrubwood/shrubwood(1372).tif,woodland,shrubwood,train
238,other_land/snow_mountain/snow_mountain(218).tif,other land,snow mountain,train
239,water_area/stream/stream(782).tif,water area,stream,train
240,water_area/sea/sea(1444).tif,water area,sea,train
241,transportation/mountain_road/mountain_road(980).tif,transportation,mountain road,train
242,cultivated_land/green_farmland/green_farmland(185).tif,cultivated land,green farmland,train
243,construction_land/container/container(1084).tif,construction land,container,train
244,other_objects/town/town(815).tif,other objects,town,train
245,woodland/natural_grassland/natural_grassland(626).tif,woodland,natural grassland,train
246,woodland/natural_grassland/natural_grassland(1203).tif,woodland,natural grassland,train
247,transportation/highway/highway(298).tif,transportation,highway,train
248,woodland/natural_grassland/natural_grassland(268).tif,woodland,natural grassland,train
249,transportation/avenue/avenue(72).tif,transportation,avenue,train
250,transportation/rail/rail(155).tif,transportation,rail,train
251,woodland/river_protection_forest/river_protection_forest(378).tif,woodland,river protection forest,train
252,other_land/desert/desert(553).tif,other land,desert,train
253,cultivated_land/green_farmland/green_farmland(35).tif,cultivated land,green farmland,train
254,transportation/mountain_road/mountain_road(702).tif,transportation,mountain road,train
255,other_land/mountain/mountain(652).tif,other land,mountain,train
256,construction_land/grave/grave(451).tif,construction land,grave,train
257,transportation/rail/rail(312).tif,transportation,rail,train
258,woodland/shrubwood/shrubwood(488).tif,woodland,shrubwood,train
259,other_land/desert/desert(201).tif,other land,desert,train
260,transportation/highway/highway(303).tif,transportation,highway,train
261,transportation/crossroads/crossroads(32).tif,transportation,crossroads,train
262,transportation/city_road/city_road(161).tif,transportation,city road,train
263,transportation/mountain_road/mountain_road(657).tif,transportation,mountain road,train
264,woodland/forest/forest(965).tif,woodland,forest,train
265,water_area/sea/sea(1363).tif,water area,sea,train
266,woodland/natural_grassland/natural_grassland(605).tif,woodland,natural grassland,train
267,other_objects/town/town(604).tif,other objects,town,train
268,other_land/desert/desert(912).tif,other land,desert,train
269,water_area/stream/stream(838).tif,water area,stream,train
270,cultivated_land/dry_farm/dry_farm(917).tif,cultivated land,dry farm,train
271,water_area/lakeshore/lakeshore(472).tif,water area,lakeshore,train
272,water_area/hirst/hirst(99).tif,water area,hirst,train
273,woodland/sapling/sapling(1446).tif,woodland,sapling,train
274,water_area/hirst/hirst(157).tif,water area,hirst,train
275,construction_land/storage_room/storage_room(416).tif,construction land,storage room,train
276,woodland/mangrove/mangrove_618(72).tif,woodland,mangrove,train
277,water_area/sea/sea(525).tif,water area,sea,train
278,water_area/sea/sea(1163).tif,water area,sea,train
279,woodland/shrubwood/shrubwood(482).tif,woodland,shrubwood,train
280,water_area/lakeshore/lakeshore(313).tif,water area,lakeshore,train
281,transportation/city_road/city_road(205).tif,transportation,city road,train
282,woodland/sparse_forest/sparse_forest(1177).tif,woodland,sparse forest,train
283,water_area/stream/stream(596).tif,water area,stream,train
284,other_land/sandbeach/sand_beach(344).tif,other land,sandbeach,train
285,woodland/forest/forest(211).tif,woodland,forest,train
286,woodland/forest/forest(1027).tif,woodland,forest,train
287,transportation/city_road/city_road(84).tif,transportation,city road,train
288,transportation/mountain_road/mountain_road(30).tif,transportation,mountain road,train
289,construction_land/city_building/city_building(200).tif,construction land,city building,train
290,water_area/hirst/hirst(272).tif,water area,hirst,train
291,woodland/natural_grassland/natural_grassland(280).tif,woodland,natural grassland,train
292,woodland/shrubwood/shrubwood(303).tif,woodland,shrubwood,train
293,other_land/desert/desert(224).tif,other land,desert,train
294,woodland/natural_grassland/natural_grassland(177).tif,woodland,natural grassland,train
295,other_land/snow_mountain/snow_mountain(352).tif,other land,snow mountain,train
296,cultivated_land/bare_land/bare_land(1093).tif,cultivated land,bare land,train
297,water_area/lakeshore/lakeshore(299).tif,water area,lakeshore,train
298,water_area/sea/sea(432).tif,water area,sea,train
299,transportation/rail/rail(250).tif,transportation,rail,train
300,woodland/sapling/sapling(607).tif,woodland,sapling,train
301,transportation/turning_circle/turning_circle(87).tif,transportation,turning circle,train
302,construction_land/residents/residents(173).tif,construction land,residents,train
303,construction_land/residents/residents(97).tif,construction land,residents,train
304,cultivated_land/dry_farm/dry_farm(87).tif,cultivated land,dry farm,train
305,water_area/lakeshore/lakeshore(28).tif,water area,lakeshore,train
306,other_land/mountain/mountain(2).tif,other land,mountain,train
307,transportation/airport_runway/airport_runway(446).tif,transportation,airport runway,train
308,woodland/shrubwood/shrubwood(774).tif,woodland,shrubwood,train
309,other_land/snow_mountain/snow_mountain(548).tif,other land,snow mountain,train
310,transportation/turning_circle/turning_circle(232).tif,transportation,turning circle,train
311,other_land/snow_mountain/snow_mountain(368).tif,other land,snow mountain,train
312,woodland/sapling/sapling(623).tif,woodland,sapling,train
313,cultivated_land/bare_land/bare_land(968).tif,cultivated land,bare land,train
314,woodland/natural_grassland/natural_grassland(134).tif,woodland,natural grassland,train
315,water_area/stream/stream(657).tif,water area,stream,train
316,water_area/stream/stream(200).tif,water area,stream,train
317,water_area/hirst/hirst(740).tif,water area,hirst,train
318,cultivated_land/dry_farm/dry_farm(1194).tif,cultivated land,dry farm,train
319,water_area/river/river(95).tif,water area,river,train
320,transportation/airport_runway/airport_runway(15).tif,transportation,airport runway,train
321,woodland/mangrove/mangrove_618(917).tif,woodland,mangrove,train
322,transportation/crossroads/crossroads(772).tif,transportation,crossroads,train
323,woodland/sparse_forest/sparse_forest(789).tif,woodland,sparse forest,train
324,construction_land/residents/residents(237).tif,construction land,residents,train
325,woodland/artificial_grassland/artificial_grassland(312).tif,woodland,artificial grassland,train
326,water_area/lakeshore/lakeshore(478).tif,water area,lakeshore,train
327,woodland/sparse_forest/sparse_forest(723).tif,woodland,sparse forest,train
328,other_land/desert/desert(388).tif,other land,desert,train
329,transportation/airport_runway/airport_runway(450).tif,transportation,airport runway,train
330,cultivated_land/dry_farm/dry_farm(631).tif,cultivated land,dry farm,train
331,water_area/stream/stream(483).tif,water area,stream,train
332,water_area/dam/dam(416).tif,water area,dam,train
333,other_land/mountain/mountain(345).tif,other land,mountain,train
334,water_area/lakeshore/lakeshore(487).tif,water area,lakeshore,train
335,transportation/avenue/avenue(428).tif,transportation,avenue,train
336,cultivated_land/bare_land/bare_land(894).tif,cultivated land,bare land,train
337,woodland/shrubwood/shrubwood(267).tif,woodland,shrubwood,train
338,construction_land/container/container(58).tif,construction land,container,train
339,cultivated_land/green_farmland/green_farmland(230).tif,cultivated land,green farmland,train
340,transportation/crossroads/crossroads(667).tif,transportation,crossroads,train
341,water_area/sea/sea(952).tif,water area,sea,train
342,construction_land/residents/residents(1112).tif,construction land,residents,train
343,construction_land/container/container(32).tif,construction land,container,train
344,transportation/airport_runway/airport_runway(843).tif,transportation,airport runway,train
345,transportation/parkinglot/parkinglot(118).tif,transportation,parkinglot,train
346,cultivated_land/dry_farm/dry_farm(1001).tif,cultivated land,dry farm,train
347,woodland/shrubwood/shrubwood(910).tif,woodland,shrubwood,train
348,transportation/city_road/city_road(304).tif,transportation,city road,train
349,construction_land/city_building/city_building(610).tif,construction land,city building,train
350,water_area/hirst/hirst(911).tif,water area,hirst,train
351,other_land/desert/desert(326).tif,other land,desert,train
352,woodland/sparse_forest/sparse_forest(1363).tif,woodland,sparse forest,train
353,water_area/lakeshore/lakeshore(352).tif,water area,lakeshore,train
354,construction_land/container/container(265).tif,construction land,container,train
355,other_land/desert/desert(9).tif,other land,desert,train
356,transportation/airport_runway/airport_runway(283).tif,transportation,airport runway,train
357,woodland/sparse_forest/sparse_forest(754).tif,woodland,sparse forest,train
358,woodland/mangrove/mangrove_618(474).tif,woodland,mangrove,train
359,water_area/hirst/hirst(803).tif,water area,hirst,train
360,construction_land/container/container(617).tif,construction land,container,train
361,transportation/crossroads/crossroads(131).tif,transportation,crossroads,train
362,transportation/bridge/bridge(196).tif,transportation,bridge,train
363,woodland/city_avenue/city_avenue(130).tif,woodland,city avenue,train
364,woodland/city_green_tree/city_green_tree(270).tif,woodland,city green tree,train
365,transportation/crossroads/crossroads(586).tif,transportation,crossroads,train
366,transportation/overpass/overpass(182).tif,transportation,overpass,train
367,other_land/mountain/mountain(428).tif,other land,mountain,train
368,cultivated_land/dry_farm/dry_farm(975).tif,cultivated land,dry farm,train
369,water_area/lakeshore/lakeshore(552).tif,water area,lakeshore,train
370,construction_land/residents/residents(743).tif,construction land,residents,train
371,woodland/mangrove/mangrove_618(937).tif,woodland,mangrove,train
372,other_land/snow_mountain/snow_mountain(883).tif,other land,snow mountain,train
373,cultivated_land/dry_farm/dry_farm(1025).tif,cultivated land,dry farm,train
374,woodland/natural_grassland/natural_grassland(1175).tif,woodland,natural grassland,train
375,construction_land/container/container(1088).tif,construction land,container,train
376,transportation/crossroads/crossroads(5).tif,transportation,crossroads,train
377,woodland/sapling/sapling(446).tif,woodland,sapling,train
378,transportation/parkinglot/parkinglot(234).tif,transportation,parkinglot,train
379,construction_land/residents/residents(566).tif,construction land,residents,train
380,water_area/hirst/hirst(340).tif,water area,hirst,train
381,transportation/avenue/avenue(135).tif,transportation,avenue,train
382,transportation/overpass/overpass(246).tif,transportation,overpass,train
383,transportation/crossroads/crossroads(522).tif,transportation,crossroads,train
384,water_area/dam/dam(45).tif,water area,dam,train
385,construction_land/residents/residents(216).tif,construction land,residents,train
386,woodland/city_avenue/city_avenue(105).tif,woodland,city avenue,train
387,water_area/sea/sea(235).tif,water area,sea,train
388,cultivated_land/green_farmland/green_farmland(333).tif,cultivated land,green farmland,train
389,water_area/sea/sea(176).tif,water area,sea,train
390,woodland/city_green_tree/city_green_tree(234).tif,woodland,city green tree,train
391,cultivated_land/dry_farm/dry_farm(532).tif,cultivated land,dry farm,train
392,woodland/river_protection_forest/river_protection_forest(154).tif,woodland,river protection forest,train
393,other_objects/pipeline/pipeline(61).tif,other objects,pipeline,train
394,construction_land/container/container(315).tif,construction land,container,train
395,other_land/desert/desert(597).tif,other land,desert,train
396,transportation/crossroads/crossroads(361).tif,transportation,crossroads,train
397,water_area/lakeshore/lakeshore(899).tif,water area,lakeshore,train
398,water_area/sea/sea(670).tif,water area,sea,train
399,woodland/mangrove/mangrove_618(271).tif,woodland,mangrove,train
400,transportation/avenue/avenue(463).tif,transportation,avenue,train
401,water_area/hirst/hirst(194).tif,water area,hirst,train
402,woodland/forest/forest(1213).tif,woodland,forest,train
403,construction_land/grave/grave(97).tif,construction land,grave,train
404,cultivated_land/dry_farm/dry_farm(464).tif,cultivated land,dry farm,train
405,cultivated_land/green_farmland/green_farmland(473).tif,cultivated land,green farmland,train
406,woodland/sparse_forest/sparse_forest(755).tif,woodland,sparse forest,train
407,construction_land/residents/residents(697).tif,construction land,residents,train
408,water_area/sea/sea(1252).tif,water area,sea,train
409,cultivated_land/dry_farm/dry_farm(615).tif,cultivated land,dry farm,train
410,water_area/river/river(471).tif,water area,river,train
411,construction_land/city_building/city_building(575).tif,construction land,city building,train
412,construction_land/residents/residents(993).tif,construction land,residents,train
413,woodland/city_green_tree/city_green_tree(322).tif,woodland,city green tree,train
414,transportation/fork_road/fork_road(237).tif,transportation,fork road,train
415,transportation/avenue/avenue(452).tif,transportation,avenue,train
416,construction_land/container/container(1094).tif,construction land,container,train
417,water_area/lakeshore/lakeshore(275).tif,water area,lakeshore,train
418,woodland/forest/forest(392).tif,woodland,forest,train
419,transportation/mountain_road/mountain_road(763).tif,transportation,mountain road,train
420,transportation/airport_runway/airport_runway(1065).tif,transportation,airport runway,train
421,woodland/shrubwood/shrubwood(907).tif,woodland,shrubwood,train
422,construction_land/residents/residents(716).tif,construction land,residents,train
423,cultivated_land/dry_farm/dry_farm(948).tif,cultivated land,dry farm,train
424,water_area/coastline/coastline(593).tif,water area,coastline,train
425,transportation/crossroads/crossroads(725).tif,transportation,crossroads,train
426,water_area/stream/stream(425).tif,water area,stream,train
427,other_land/sandbeach/sand_beach(146).tif,other land,sandbeach,train
428,water_area/lakeshore/lakeshore(408).tif,water area,lakeshore,train
429,woodland/sparse_forest/sparse_forest(925).tif,woodland,sparse forest,train
430,woodland/sparse_forest/sparse_forest(932).tif,woodland,sparse forest,train
431,construction_land/storage_room/storage_room(172).tif,construction land,storage room,train
432,other_land/desert/desert(623).tif,other land,desert,train
433,transportation/airport_runway/airport_runway(667).tif,transportation,airport runway,train
434,water_area/hirst/hirst(496).tif,water area,hirst,train
435,woodland/shrubwood/shrubwood(278).tif,woodland,shrubwood,train
436,transportation/bridge/bridge(190).tif,transportation,bridge,train
437,woodland/natural_grassland/natural_grassland(534).tif,woodland,natural grassland,train
438,woodland/city_green_tree/city_green_tree(139).tif,woodland,city green tree,train
439,woodland/natural_grassland/natural_grassland(632).tif,woodland,natural grassland,train
440,water_area/sea/sea(289).tif,water area,sea,train
441,woodland/forest/forest(278).tif,woodland,forest,train
442,water_area/lakeshore/lakeshore(242).tif,water area,lakeshore,train
443,woodland/natural_grassland/natural_grassland(1018).tif,woodland,natural grassland,train
444,other_objects/town/town(817).tif,other objects,town,train
